stock_name,buy_date,buy_price,sell_date,sell_price,profit_loss,holding_period_days
360ONE,2026-01-05,1198.5999755859375,2026-01-07,1191.800048828125,-6.7999267578125,2
ABB,2026-01-29,5368.0,2026-02-13,5780.5,412.5,15
APLAPOLLO,2026-01-23,1993.699951171875,2026-02-17,2224.5,230.800048828125,25
AUBANK,2026-01-05,1007.25,2026-01-12,1007.7999877929688,0.54998779296875,7
AARTIIND,2026-02-03,392.70001220703125,2026-02-16,455.25,62.54998779296875,13
ADANIPORTS,2026-02-04,1549.0,2026-02-18,1550.800048828125,1.800048828125,14
ADANIPORTS,2026-02-23,1549.0,2026-03-04,1434.4000244140625,-114.5999755859375,9
ABSLAMC,2026-02-12,863.0,2026-02-25,911.5,48.5,13
AJANTPHARM,2026-02-25,3020.800048828125,2026-03-04,2916.300048828125,-104.5,7
AMBER,2026-02-09,6824.0,2026-02-20,7650.5,826.5,11
APARINDS,2026-02-03,9449.5,2026-02-17,9556.0,106.5,14
APOLLOHOSP,2026-02-11,7478.072280966768,2026-02-23,7693.0,214.92771903323228,12
ASHOKLEY,2026-01-05,143.52661013654412,2026-01-06,186.14999389648438,42.62338375994025,1
ASTERDM,2026-02-18,627.7999877929688,2026-02-26,649.4500122070312,21.6500244140625,8
ASTRAL,2026-02-10,1512.0,2026-02-20,1636.5999755859375,124.5999755859375,10
DMART,2026-02-05,3918.60009765625,2026-02-18,3915.199951171875,-3.400146484375,13
AXISBANK,2026-01-19,1304.0,2026-02-09,1341.4000244140625,37.4000244140625,21
BAJAJ-AUTO,2026-02-18,9888.0,2026-03-04,9652.5,-235.5,14
BALKRISIND,2026-02-03,2461.7221802387858,2026-02-17,2547.39990234375,85.67772210496423,14
BALRAMCHIN,2026-03-04,475.0,2026-03-04,491.70001220703125,16.70001220703125,0
BANDHANBNK,2026-02-24,175.9499969482422,2026-02-27,181.97999572753906,6.029998779296875,3
BANKBARODA,2026-01-05,303.95001220703125,2026-01-09,300.6499938964844,-3.300018310546875,4
BANKBARODA,2026-02-25,313.3500061035156,2026-03-04,299.29998779296875,-14.050018310546875,7
BANKINDIA,2026-01-07,151.42999267578125,2026-01-14,152.8699951171875,1.44000244140625,7
MAHABANK,2026-01-05,60.638031167010055,2026-01-12,62.8149299621582,2.1768987951481478,7
MAHABANK,2026-02-18,67.3499984741211,2026-03-04,68.41999816894531,1.0699996948242188,14
BEL,2026-01-28,424.54998779296875,2026-02-11,437.54998779296875,13.0,14
BHARATFORG,2026-02-03,1504.7794781562257,2026-03-02,1879.300048828125,374.52057067189935,27
BSOFT,2026-02-05,458.70001220703125,2026-02-13,398.95001220703125,-59.75,8
BLUESTARCO,2026-02-04,1876.9000244140625,2026-02-19,1969.0999755859375,92.199951171875,15
CCL,2026-02-24,1056.1473876953125,2026-03-04,1009.0999755859375,-47.047412109375045,8
CGPOWER,2026-02-09,689.6778263204568,2026-02-19,696.5499877929688,6.872161472511948,10
CENTRALBK,2026-02-25,39.53628930828804,2026-03-04,37.06999969482422,-2.4662896134638217,7
CHENNPETRO,2026-02-05,893.25,2026-02-16,888.9500122070312,-4.29998779296875,11
CHENNPETRO,2026-02-18,893.25,2026-03-04,999.9000244140625,106.6500244140625,14
COALINDIA,2026-01-05,384.1220958605136,2026-01-08,419.70172119140625,35.57962533089267,3
COLPAL,2026-02-24,2209.89990234375,2026-03-04,2183.699951171875,-26.199951171875,8
CROMPTON,2026-02-11,266.0,2026-02-20,265.42999267578125,-0.57000732421875,9
CUMMINSIND,2026-02-17,4594.109765093868,2026-02-20,4733.89990234375,139.7901372498818,3
CYIENT,2026-01-16,1194.5,2026-01-21,1123.199951171875,-71.300048828125,5
DATAPATTNS,2026-02-09,2774.0,2026-03-04,3126.300048828125,352.300048828125,23
DRREDDY,2026-02-23,1293.0,2026-02-27,1286.300048828125,-6.699951171875,4
DRREDDY,2026-03-02,1293.0,2026-03-04,1291.199951171875,-1.800048828125,2
EICHERMOT,2026-02-11,7613.5,2026-02-25,8008.0,394.5,14
ELGIEQUIP,2026-02-03,486.6499938964844,2026-02-19,524.5499877929688,37.899993896484375,16
EMCURE,2026-01-05,1469.0,2026-01-21,1557.9000244140625,88.9000244140625,16
ENDURANCE,2026-02-24,2631.800048828125,2026-03-04,2505.0,-126.800048828125,8
NYKAA,2026-02-06,272.95001220703125,2026-02-18,272.4200134277344,-0.529998779296875,12
FEDERALBNK,2026-01-19,271.1000061035156,2026-02-04,287.3999938964844,16.29998779296875,16
FEDERALBNK,2026-02-25,298.25,2026-03-04,286.45001220703125,-11.79998779296875,7
FINCABLES,2026-02-10,797.0,2026-02-19,801.7000122070312,4.70001220703125,9
FINCABLES,2026-02-23,797.0,2026-03-04,889.3499755859375,92.3499755859375,9
FORCEMOT,2026-02-09,21915.0,2026-02-20,24475.0,2560.0,11
FORTIS,2026-02-26,950.4500122070312,2026-03-04,910.9000244140625,-39.54998779296875,6
GVT&D,2026-02-26,3819.0,2026-03-04,3682.60009765625,-136.39990234375,6
GRSE,2026-01-29,2572.560384696453,2026-02-11,2483.60009765625,-88.96028704020318,13
GILLETTE,2026-01-30,8356.02869169535,2026-02-13,8553.0,196.97130830464994,14
GLAND,2026-01-29,1790.4000244140625,2026-02-13,1780.800048828125,-9.5999755859375,15
GRAPHITE,2026-02-18,685.0,2026-03-02,707.4000244140625,22.4000244140625,12
GESHIP,2026-01-28,1130.6474932661301,2026-02-16,1311.9000244140625,181.25253114793236,19
HCLTECH,2026-01-16,1683.206586728738,2026-01-29,1721.5999755859375,38.3933888571994,13
HDFCAMC,2026-02-04,2696.0,2026-02-19,2732.199951171875,36.199951171875,15
HFCL,2026-02-09,71.58999633789062,2026-02-16,69.0,-2.589996337890625,7
HINDALCO,2026-01-28,970.7999877929688,2026-02-02,930.5,-40.29998779296875,5
HAL,2026-01-28,4541.269514737924,2026-02-05,4002.247802734375,-539.0217120035486,8
HINDCOPPER,2026-01-05,364.765186959386,2026-01-08,519.9164428710938,155.15125591170772,3
HINDZINC,2026-01-05,504.0,2026-01-30,628.5,124.5,25
POWERINDIA,2026-02-06,19898.0,2026-02-17,22977.0,3079.0,11
HOMEFIRST,2026-01-27,1197.9000244140625,2026-02-05,1161.4000244140625,-36.5,9
ICICIBANK,2026-01-06,1400.0,2026-01-19,1380.5999755859375,-19.4000244140625,13
ICICIPRULI,2026-01-05,635.2999877929688,2026-01-13,681.4500122070312,46.1500244140625,8
IFCI,2026-01-12,55.099998474121094,2026-01-27,56.220001220703125,1.1200027465820312,15
INDIANB,2026-01-22,894.8499755859375,2026-02-04,879.25,-15.5999755859375,13
INDIANB,2026-02-18,923.0,2026-03-04,939.0,16.0,14
IOC,2026-02-04,168.7899932861328,2026-02-16,175.14999389648438,6.3600006103515625,12
INDUSTOWER,2026-02-09,454.95001220703125,2026-02-23,472.20001220703125,17.25,14
INDUSINDBK,2026-01-05,874.4000244140625,2026-01-19,949.7999877929688,75.39996337890625,14
INDUSINDBK,2026-02-26,961.9000244140625,2026-03-02,942.5,-19.4000244140625,4
JBCHEPHARM,2026-02-16,1926.194995609763,2026-03-04,2051.800048828125,125.60505321836195,16
JKTYRE,2026-02-03,524.7000122070312,2026-02-16,582.5999755859375,57.89996337890625,13
JSWSTEEL,2026-01-05,1185.0,2026-01-13,1178.0999755859375,-6.9000244140625,8
JSWSTEEL,2026-01-16,1185.0,2026-02-13,1232.0,47.0,28
J&KBANK,2026-02-24,109.80000305175781,2026-03-04,116.23999786376953,6.439994812011719,8
JINDALSTEL,2026-01-28,1098.0,2026-02-13,1184.699951171875,86.699951171875,16
KEI,2026-02-09,4581.87454861442,2026-02-18,4606.89990234375,25.025353729330163,9
KEI,2026-02-20,4581.87454861442,2026-03-04,4979.0,397.12545138558016,12
KSB,2026-02-26,774.4000244140625,2026-03-04,738.9000244140625,-35.5,6
KPIL,2026-02-23,1174.5,2026-03-04,1122.5,-52.0,9
KARURVYSYA,2026-01-27,280.45001220703125,2026-02-12,318.8500061035156,38.399993896484375,16
KIRLOSENG,2026-02-12,1326.663911749093,2026-02-26,1396.300048828125,69.6361370790321,14
KIMS,2026-02-11,667.1500244140625,2026-02-26,743.2999877929688,76.14996337890625,15
LTFOODS,2026-02-03,408.4015637350112,2026-02-17,425.6000061035156,17.198442368504402,14
LT,2026-02-16,4195.0,2026-02-19,4280.5,85.5,3
LICI,2026-02-06,863.5999755859375,2026-02-17,874.0999755859375,10.5,11
LINDEINDIA,2026-02-10,6309.5,2026-02-24,6636.5,327.0,14
LUPIN,2026-02-17,2226.300048828125,2026-02-20,2219.39990234375,-6.900146484375,3
LUPIN,2026-02-23,2226.300048828125,2026-03-04,2304.89990234375,78.599853515625,9
MGL,2026-02-09,1167.7211647655865,2026-02-19,1119.0,-48.721164765586536,10
MGL,2026-02-24,1167.7211647655865,2026-03-04,1101.199951171875,-66.52121359371154,8
MRPL,2026-02-06,185.0,2026-02-13,185.60000610351562,0.600006103515625,7
MANKIND,2026-02-26,2199.0,2026-03-04,2207.199951171875,8.199951171875,6
MARICO,2026-02-18,780.0,2026-02-24,810.3499755859375,30.3499755859375,6
MFSL,2026-02-09,1752.199951171875,2026-02-24,1841.9000244140625,89.7000732421875,15
MCX,2026-01-05,1923.4000244140625,2026-01-07,2305.0,381.5999755859375,2
MUTHOOTFIN,2026-01-05,3377.89990234375,2026-01-16,3936.10009765625,558.2001953125,11
NATCOPHARM,2026-02-25,958.7716525011474,2026-03-04,953.0999755859375,-5.6716769152099005,7
NTPC,2026-01-29,352.14141090010577,2026-02-16,369.1000061035156,16.958595203409857,18
NATIONALUM,2026-01-05,264.52946700733696,2026-01-08,329.3753662109375,64.84589920360054,3
NAVINFLUOR,2026-02-03,6207.0,2026-02-16,6248.5,41.5,13
NETWEB,2026-01-08,3371.89990234375,2026-01-20,3234.800048828125,-137.099853515625,12
NETWEB,2026-02-27,3753.0,2026-03-04,3461.5,-291.5,5
ONGC,2026-01-28,246.5160775685659,2026-02-03,251.09140014648438,4.5753225779184845,6
OIL,2026-01-13,439.17657710300983,2026-01-16,441.89178466796875,2.7152075649589165,3
OIL,2026-01-27,439.17657710300983,2026-02-10,481.4862365722656,42.30965946925579,14
PETRONET,2026-02-09,299.79998779296875,2026-02-13,290.3999938964844,-9.399993896484375,4
PETRONET,2026-02-18,299.79998779296875,2026-03-02,308.6499938964844,8.850006103515625,12
PHOENIXLTD,2026-01-05,1785.5999755859375,2026-01-08,1903.199951171875,117.5999755859375,3
POLYCAB,2026-02-23,7948.0,2026-03-04,8284.0,336.0,9
PFC,2026-01-28,377.7739499114281,2026-02-13,396.63787841796875,18.863928506540674,16
POWERGRID,2026-02-03,270.2659321506915,2026-02-18,300.54998779296875,30.284055642277224,15
PNB,2026-01-14,127.80000305175781,2026-02-13,118.76000213623047,-9.040000915527344,30
RKFORGE,2026-02-03,542.5999755859375,2026-02-17,567.7000122070312,25.10003662109375,14
SAILIFE,2026-02-27,983.3499755859375,2026-03-04,1004.2999877929688,20.95001220703125,5
SAMMAANCAP,2026-02-20,152.3800048828125,2026-03-04,142.25,-10.1300048828125,12
MOTHERSON,2026-02-10,124.70999908447266,2026-02-19,129.8800048828125,5.170005798339844,9
SARDAEN,2026-02-27,538.0,2026-03-04,521.4000244140625,-16.5999755859375,5
SCHNEIDER,2026-02-18,909.5,2026-02-24,896.7999877929688,-12.70001220703125,6
SCI,2026-02-09,234.4082367875164,2026-02-19,261.32000732421875,26.911770536702363,10
SHRIRAMFIN,2026-02-09,1025.5999755859375,2026-02-24,1061.699951171875,36.0999755859375,15
SHYAMMETL,2026-01-29,858.0,2026-02-16,882.25,24.25,18
SIEMENS,2026-02-24,3324.60009765625,2026-03-04,3161.0,-163.60009765625,8
SOLARINDS,2026-01-28,13739.0,2026-02-11,13445.0,-294.0,14
SOLARINDS,2026-03-04,14130.0,2026-03-04,14523.0,393.0,0
SBIN,2026-01-05,999.0,2026-01-20,1036.4000244140625,37.4000244140625,15
SAIL,2026-01-05,145.89999389648438,2026-01-12,149.22000122070312,3.32000732421875,7
SAIL,2026-01-21,145.89999389648438,2026-02-02,148.6699981689453,2.7700042724609375,12
SUNTV,2026-02-10,599.545470383891,2026-02-23,586.5999755859375,-12.945494797953529,13
SUNTV,2026-02-25,599.545470383891,2026-03-04,593.0999755859375,-6.445494797953529,7
SUNDARMFIN,2026-02-04,5375.786371422579,2026-02-09,5451.0,75.21362857742133,5
SUNDARMFIN,2026-02-12,5375.786371422579,2026-03-04,5440.0,64.21362857742133,20
SUPREMEIND,2026-02-03,3655.10009765625,2026-02-17,3919.60009765625,264.5,14
SYRMA,2026-01-30,760.0,2026-02-17,863.2000122070312,103.20001220703125,18
TVSMOTOR,2026-02-25,3909.0,2026-03-02,3813.10009765625,-95.89990234375,5
TATASTEEL,2026-01-14,186.94000244140625,2026-02-02,188.50999450683594,1.5699920654296875,19
TECHM,2026-01-16,1649.800048828125,2026-02-03,1716.5,66.699951171875,18
TECHNOE,2026-02-18,1148.0,2026-03-04,1124.0,-24.0,14
RAMCOCEM,2026-01-05,1064.0,2026-01-19,1065.4000244140625,1.4000244140625,14
RAMCOCEM,2026-01-21,1064.0,2026-02-13,1144.699951171875,80.699951171875,23
THERMAX,2026-02-20,3120.0,2026-03-04,3015.5,-104.5,12
TIMKEN,2026-02-26,3356.0,2026-03-04,3236.0,-120.0,6
TORNTPHARM,2026-01-06,3855.761908973848,2026-01-12,3922.901611328125,67.13970235427678,6
TORNTPHARM,2026-02-16,4079.229828851608,2026-03-04,4341.0,261.7701711483919,16
TORNTPOWER,2026-02-05,1397.419967924643,2026-02-23,1536.4000244140625,138.98005648941944,18
TIINDIA,2026-02-26,2655.6506203612967,2026-03-04,2771.10009765625,115.44947729495334,6
ULTRACEMCO,2026-01-05,12021.0,2026-01-12,12098.0,77.0,7
UNIONBANK,2026-01-05,160.14999389648438,2026-01-20,175.72999572753906,15.580001831054688,15
UNIONBANK,2026-02-17,183.33999633789062,2026-03-02,198.1300048828125,14.790008544921875,13
VGUARD,2026-01-30,351.20001220703125,2026-02-10,338.45001220703125,-12.75,11
VTL,2026-02-02,455.20001220703125,2026-02-13,510.54998779296875,55.3499755859375,11
VEDL,2026-01-05,535.5,2026-01-30,681.5499877929688,146.04998779296875,25
VOLTAS,2026-02-12,1517.9000244140625,2026-02-19,1512.699951171875,-5.2000732421875,7
VOLTAS,2026-02-20,1517.9000244140625,2026-03-04,1438.9000244140625,-79.0,12
WELCORP,2026-02-05,829.9000244140625,2026-02-18,805.0999755859375,-24.800048828125,13
YESBANK,2026-01-07,23.469999313354492,2026-01-16,23.459999084472656,-0.010000228881835938,9
ZFCVINDIA,2026-02-11,15692.0,2026-02-16,15974.0,282.0,5
